userName,score,at,content
Aji Dwi Saputro,5,2025-12-11 10:11:29,"Aplikasinya unfaedah, komplain listrik padam d diemin, tidak d fu, listrik padam lama kita sebagai pelanggan d rugikan kalau dagangan rusak tidak dapat kompensasi, tapi kalau bayar telat dapat denda langsung, harusnya ada kompensasi kalau pemadaman listrik yang cukup lama. pesawat+kereta delay saja kita dapat kompensasi, ini listrik padam dagangan rusak diem2 bae..🥲🥲"
Keysia Juli ananda,5,2025-12-11 10:10:22,sangat mudah dan membantu
Eko Sudaryono,5,2025-12-11 10:09:56,pengurusan tambah Daya jadi semakin mudah dan cepat
derry firmansyah,5,2025-12-11 10:09:34,aplikasi pln mobile sangat membantu bnget yang berhubungan dengan pelayanan kelistrikan
zikir man,5,2025-12-11 10:08:23,layan cepat dan tepat
Baros Sulaeman,5,2025-12-11 10:08:01,oklah
Papa Ceng,5,2025-12-11 10:07:45,Adax pln mobile pelanggan semakin mudah
Afik Erlangga,5,2025-12-11 10:06:31,"aplikasi yang sangat baik dan membantu aku pas krmaren sempet mati lampu karna kehabisan pulsa kebetulan ada pln mobile untuk membeli token di. situ, dan sangat memudahkan para pengguna nyaa."
Base camp,5,2025-12-11 10:06:26,Cepat dan mudah digunakan
kiki juniarto,5,2025-12-11 10:05:51,pelayanan sangat ramah dan cepat tanggap
Mas Anggik Channel,5,2025-12-11 10:02:41,PLN Mobile Aplikasi yang sangat mudah penggunaan nya
ARFAN MULYONO,5,2025-12-11 10:02:41,masalah kelistrikan di PLN mobile aja👍
Liza,5,2025-12-11 10:02:34,"aplikasi yang sangat membantu, laporan jadi mudah ketika gangguan listrik PLN, layanan kelistrikan sekarang jd mudah, hanya lewat handphone tanpa perlu datang ke kantor PLN, pasang baru maupun tambahdaya simpel, terimakasih PLN💌"
Astro Boy,5,2025-12-11 10:02:29,apk yg bkin mudah pembelian pulsa
Mahni afifa,5,2025-12-11 10:02:11,aplikasi PLN mobile seperti cewek cantik selalu di lirik😁
Djajuli Yanbung,5,2025-12-11 10:01:53,pln rayon nganjuk sangat baik pelayanany
Ludian,5,2025-12-11 10:01:21,"aplikasi ini sangat membantu sekali, karna dengan adanya pln mobile ini segala kendala listrik yg ada dirumah kita jd sangat mudah kita adukan disni, dengan respon yg sangat cepat dan tepat. PLN jaya selalu👍🤓"
Moch Firman,5,2025-12-11 10:00:05,"pelayanan listrik baik ldan cepat .,,dan ramah.."
Luna,5,2025-12-11 09:59:51,"apk ini sanggat lah bermanfaat, recommended banget buat ngatasin masalah listrik, bisa cek pemakaian listrik bulanan jadi bisa hemat dan tampilannya simpel dan muda dimengerti💞"
Fawaid Kamil,5,2025-12-11 09:59:51,aplikasinya sangat membantu......
Ariel Tahili,5,2025-12-11 09:59:14,aplikasi sangat sangat membantu masyarakat yang tidak perlu susah susah ke tempat lain udah ada solusi aplikasi ini untuk mempermudah beli token mantap semoga semakin bermanfaat 👍👍
Lefy,5,2025-12-11 09:59:01,"Aplikasinya sangat membantu! Sekarang jadi lebih mudah untuk cek tagihan, beli token, dan pantau pemakaian listrik. Fitur-fiturnya lengkap dan user-friendly. Pelayanan juga cepat kalau ada gangguan. Terima kasih PLN Mobile, makin praktis!👍❤️"
Rijwan Af,5,2025-12-11 09:58:44,PLN mantappp
Suka Suka,5,2025-12-11 09:57:36,pakai alpikasi pln mobail..lebih cepat..
Rendy Yahya12,5,2025-12-11 09:56:09,"aplikasi yang sangat membantu ketika ada masalah listrik, dan mudah untuk pembayaran tagihan listrik"
Elqiano Alfarizky,5,2025-12-11 09:55:57,"pln mobile sangat membantu dan mempermudah pelayanan ,,"
Bartolomeus Dey,5,2025-12-11 09:55:53,laporan gangguan jadi lebih mudah
syafii ridwan,5,2025-12-11 09:55:48,ok
Puryanti Yanti,5,2025-12-11 09:55:46,aplikasi baik pelayanan cepat ditangani....
Joni Joni,5,2025-12-11 09:55:33,dengan adanya aplikasi pln mobile semua makin mudah dan cepat
Allexsan m,5,2025-12-11 09:53:10,"PLN Mobile adalah aplikasi yang sangat berguna bagi pelanggan PLN dalam mengelola kebutuhan listrik mereka. Meski masih memiliki beberapa kekurangan dalam hal performa dan stabilitas, fitur-fitur yang ditawarkan cukup lengkap dan memudahkan pengguna dalam berbagai aspek layanan PLN. Jika PLN terus melakukan pembaruan dan peningkatan sistem, aplikasi ini bisa menjadi solusi yang semakin optimal bagi pelanggan."
Suyat Suyatno,5,2025-12-11 09:52:24,dengan aplikasi ini kami pribadi sangat memudahkan dalam pengisian token listrik sangat cept respon nya. pelaaporan kendala kelistrikan cept di respon. terimakasih PLN mobile
Lukman 10,5,2025-12-11 09:51:13,"Aplikasi PLN mobile berguna banget buat para penggunanya, selain membantu mempermudah dalam pengaduan listrik bisa juga buat bayar listrik dan beli token listrik. Terima kasih PLN Mobile semoga fiturnya lebih bagus lagi dan lebih baik lagi kedepannya agar lebih memudahkan lagi untuk penggunanyaa."
Abd Wafi AL ATAS,5,2025-12-11 09:50:57,PLN Mobile ini aplikasi yang mempermudah transaksi masalah kelistrikan kheeer akhi Thoyib2 👍👍👍💥💥💥
Indra Malo,5,2025-12-11 09:50:14,semua makin mudah dan praktis dengan adanya aplikasi PLN mobile..semua yg berurusan dengan listrik bisa teratasi dengan mudahnya
Achmad Affandi,5,2025-12-11 09:49:36,mudah cepat dan banyak promo
